anime_id,title,score,genre,studio,numEpi,releaseDate,numReviews,tomatometer,popcornmeter
103,rising impact,7.53,Sports,Lay-duce,12,"Jun 22, 2024",6773,NULL,9.7
104,romantic killer,7.96,Comedy,domerica,12,"Oct 27, 2022",130366,NULL,9.6
105,scavengers reign,null,,null,null,null,null,10.0,9.6
106,solo leveling,8.27,Action,A-1 Pictures,12,"Jan 7, 2024 to Mar 31, 2024",452917,10.0,8.4
107,spriggan,6.68,Adventure,Studio 4°C,1,"Sep 5, 1998",14853,8.3,6.7
108,spy x family,8.49,Action,Wit Studio,12,"Apr 9, 2022 to Jun 25, 2022",1025218,10.0,8.8
109,suicide squad isekai,6.48,Action,Wit Studio,10,"Jul 6, 2024 to Sep 7, 2024",40665,NULL,6.3
110,summer time rendering,8.47,Mystery,OLM,25,"Apr 15, 2022 to Sep 30, 2022",243700,NULL,10.0
111,super crooks,7.21,Action,Bones,13,"Nov 25, 2021",40137,10.0,7.4
112,sword art online: alicization,7.57,Action,A-1 Pictures,24,"Oct 7, 2018 to Mar 31, 2019",639753,NULL,7.4
113,tekken: bloodline,6.43,Action,Studio Hibari,6,"Aug 18, 2022",19724,4.0,7.6
114,terror in resonance,8.08,Mystery,MAPPA,11,"Jul 11, 2014 to Sep 26, 2014",635053,NULL,8.0
115,that time i got reincarnated as a slime,8.14,Action,8bit,24,"Oct 2, 2018 to Mar 19, 2019",920289,NULL,7.7
116,the circle,null,,null,null,null,null,NULL,6.2
117,the daily life of the immortal king,7.32,Adventure,Haoliners Animation League,15,"Jan 18, 2020 to Mar 28, 2020",163808,NULL,NULL
118,the disastrous life of saiki k.: reawakened,8.11,Comedy,J.C.Staff,6,"Dec 30, 2019",142355,NULL,7.9
119,the dreaming boy is a realist,6.62,Comedy,Studio Gokumi,12,"Jul 4, 2023 to Sep 19, 2023",83158,NULL,NULL
120,the grimm variations,null,,null,null,null,null,10.0,3.3
121,the rising of the shield hero,7.94,Action,Kinema Citrus,25,"Jan 9, 2019 to Jun 26, 2019",1023712,NULL,7.8
122,the seven deadly sins,7.62,Action,A-1 Pictures,24,"Oct 5, 2014 to Mar 29, 2015",1371547,NULL,7.7
123,tokyo override,null,,null,null,null,null,NULL,NULL
124,tokyo revengers,7.88,Action,LIDENFILMS,24,"Apr 11, 2021 to Sep 19, 2021",722214,NULL,8.8
125,tower of god,7.56,Action,Telecom Animation Film,13,"Apr 2, 2020 to Jun 25, 2020",576672,NULL,NULL
126,trigun stampede,7.83,Action,Orange,12,"Jan 7, 2023 to Mar 25, 2023",76068,10.0,7.5
127,ultraman,6.69,Action,Production I.G,13,"Apr 1, 2019",14484,NULL,7.7
128,uncle from another world,7.78,Comedy,Atelier Pontdarc,13,"Jul 6, 2022 to Mar 8, 2023",173282,NULL,9.6
129,uzumaki,5.89,Avant Garde,Akatsuki,4,"Sep 28, 2024 to Oct 19, 2024",52156,8.0,7.0
130,vinland saga,8.76,Action,Wit Studio,24,"Jul 8, 2019 to Dec 30, 2019",931467,10.0,7.9
131,world trigger,7.58,Action,Toei Animation,73,"Oct 5, 2014 to Apr 3, 2016",151747,NULL,NULL
132,yasuke,5.75,Action,MAPPA,6,"Apr 29, 2021",47604,9.3,5.1
133,yu-gi-oh! duel monsters,7.49,Action,Gallop,224,"Apr 18, 2000 to Sep 29, 2004",258044,NULL,8.4
134,zom 100: bucket list of the dead,7.76,Action,BUG FILMS,12,"Jul 9, 2023 to Dec 26, 2023",274392,10.0,9.2
135,ōoku: the inner chambers,7.42,Drama,Studio Deen,10,"Jun 29, 2023",12239,NULL,8.1
136,古見さんは、コミュ症です。,7.84,Comedy,OLM,12,"Oct 7, 2021 to Dec 23, 2021",493032,NULL,9.1
137,東京喰種トーキョーグール √a,null,,null,null,null,null,NULL,7.0
138,無限の住人 -immortal-,null,,null,null,null,null,NULL,10.0
139,約束のネバーランド,8.49,Mystery,CloverWorks,12,"Jan 11, 2019 to Mar 29, 2019",1323563,10.0,6.7
140,賭ケグルイ,7.23,Drama,MAPPA,12,"Jul 1, 2017 to Sep 23, 2017",943810,NULL,7.3
